order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full
FMY530203201,2025-05-17,789203,25891201,436,2025-06-01,2025-06-01,436,1,0,0
FJUN61522201,2025-05-17,789522,25891201,252,2025-06-01,2025-05-31,202,0,0,0
FMY530422501,2025-05-17,789422,25891501,125,2025-05-31,2025-05-31,125,1,0,0
FMY531503503,2025-05-17,789503,25891501,140,2025-06-01,2025-06-01,133,0,1,0
FMY530203501,2025-05-17,789203,25891501,247,2025-06-01,2025-06-01,247,1,1,1
FJUN61403501,2025-05-17,789403,25891501,138,2025-06-01,2025-06-01,138,1,0,0
FJUN61121501,2025-05-17,789121,25891501,121,2025-05-31,2025-05-31,121,1,0,0
FJUN61122501,2025-05-17,789122,25891501,185,2025-05-30,2025-05-30,176,0,1,0
FJUN61103501,2025-05-17,789103,25891501,149,2025-05-31,2025-05-31,142,0,1,0
FJUN61303503,2025-05-17,789303,25891501,210,2025-06-01,2025-06-03,210,1,1,1
FJUN61421501,2025-05-17,789421,25891501,110,2025-05-31,2025-06-02,110,1,0,0
FMY530202501,2025-05-17,789202,25891501,202,2025-05-31,2025-05-31,202,1,0,0
FMY530622603,2025-05-17,789622,25891501,164,2025-06-01,2025-06-04,164,1,1,1
FMY531622501,2025-05-17,789622,25891501,121,2025-05-31,2025-05-31,115,0,1,0
FMY530503602,2025-05-17,789503,25891602,191,2025-06-01,2025-06-02,191,1,1,1
FJUN61503602,2025-05-17,789503,25891602,92,2025-06-01,2025-06-03,92,1,1,1
FJUN61202602,2025-05-17,789202,25891602,143,2025-06-01,2025-06-01,136,0,1,0
FMY530102602,2025-05-17,789102,25891602,148,2025-06-01,2025-06-01,148,1,0,0
FMY530703602,2025-05-17,789703,25891602,181,2025-05-30,2025-05-30,181,1,1,1
FMY531321603,2025-05-17,789321,25891602,57,2025-05-31,2025-05-30,57,1,1,1
FJUN61402602,2025-05-17,789402,25891602,120,2025-06-01,2025-06-01,120,1,0,0
FMY530121602,2025-05-17,789121,25891602,154,2025-06-01,2025-06-01,146,0,0,0
FMY530522602,2025-05-17,789522,25891602,189,2025-05-31,2025-05-31,170,0,0,0
FMY530622603,2025-05-17,789622,25891602,154,2025-06-01,2025-06-02,154,1,1,1
FMY531902602,2025-05-17,789902,25891602,91,2025-05-30,2025-05-30,91,1,0,0
FMY531603602,2025-05-17,789603,25891602,83,2025-06-01,2025-06-01,75,0,0,0
FJUN61122602,2025-05-17,789122,25891602,60,2025-06-01,2025-06-01,54,0,0,0
FMY531703101,2025-05-17,789703,25891101,317,2025-05-30,2025-05-30,317,1,0,0
FMY531203301,2025-05-17,789203,25891101,392,2025-05-30,2025-05-30,392,1,1,1
FJUN61902203,2025-05-17,789902,25891101,443,2025-06-01,2025-06-02,443,1,1,1
FMY530702401,2025-05-17,789702,25891101,359,2025-05-31,2025-05-31,323,0,1,0
FMY531702402,2025-05-17,789702,25891101,411,2025-06-01,2025-06-02,370,0,1,0
FMY530103101,2025-05-17,789103,25891101,370,2025-05-31,2025-05-31,333,0,1,0
FMY531421101,2025-05-17,789421,25891101,300,2025-06-01,2025-06-01,285,0,0,0
FMY530202202,2025-05-17,789202,25891101,392,2025-05-31,2025-05-31,392,1,1,1
FJUN61202602,2025-05-17,789202,25891101,466,2025-05-31,2025-05-31,466,1,1,1
FMY530403402,2025-05-17,789403,25891101,496,2025-05-30,2025-05-29,496,1,1,1
FMY530622603,2025-05-17,789622,25891101,403,2025-05-30,2025-05-30,403,1,1,1
FMY531422103,2025-05-17,789422,25891101,495,2025-05-30,2025-05-30,495,1,1,1
FJUN61422101,2025-05-17,789422,25891101,369,2025-05-31,2025-05-30,369,1,0,0
FMY531402202,2025-05-17,789402,25891101,365,2025-05-30,2025-05-30,365,1,1,1
FMY531603603,2025-05-17,789603,25891401,232,2025-06-01,2025-06-02,232,1,1,1
FMY530902603,2025-05-17,789902,25891401,388,2025-05-30,2025-05-30,388,1,1,1
FJUN61402401,2025-05-17,789402,25891401,229,2025-05-31,2025-05-31,206,0,1,0
FMY530622401,2025-05-17,789622,25891401,471,2025-06-01,2025-06-01,471,1,0,0
FMY530121401,2025-05-17,789121,25891401,409,2025-06-01,2025-06-01,409,1,0,0
FJUN61903603,2025-05-17,789903,25891401,440,2025-05-30,2025-05-31,418,0,1,0
FMY530702401,2025-05-17,789702,25891401,284,2025-06-01,2025-06-01,270,0,1,0
FMY531702402,2025-05-17,789702,25891401,381,2025-06-01,2025-06-03,343,0,1,0
FJUN61702401,2025-05-17,789702,25891401,457,2025-05-30,2025-05-30,457,1,1,1
FMY531522401,2025-05-17,789522,25891401,435,2025-05-30,2025-05-30,435,1,0,0
FMY530422402,2025-05-17,789422,25891401,333,2025-06-01,2025-06-01,333,1,1,1
FJUN61422401,2025-05-17,789422,25891401,271,2025-05-30,2025-05-31,271,1,1,1
FJUN61421501,2025-05-17,789421,25891401,409,2025-06-01,2025-06-04,368,0,0,0
FMY530221401,2025-05-17,789221,25891401,236,2025-05-30,2025-05-30,212,0,0,0
FJUN61221401,2025-05-17,789221,25891401,345,2025-05-30,2025-06-02,345,1,0,0
FMY531603603,2025-05-17,789603,25891603,170,2025-05-30,2025-06-02,170,1,1,1
FMY531403603,2025-05-17,789403,25891603,189,2025-05-31,2025-06-02,189,1,1,1
FMY530622603,2025-05-17,789622,25891603,97,2025-06-01,2025-06-03,78,0,1,0
FJUN61421603,2025-05-17,789421,25891603,78,2025-05-31,2025-05-31,78,1,1,1
FJUN61903603,2025-05-17,789903,25891603,135,2025-05-30,2025-05-30,128,0,1,0
FMY530902603,2025-05-17,789902,25891603,192,2025-05-30,2025-05-30,173,0,1,0
FMY531321603,2025-05-17,789321,25891603,104,2025-06-01,2025-06-01,104,1,1,1
FJUN61321603,2025-05-17,789321,25891603,69,2025-05-31,2025-05-31,69,1,0,0
FMY530402202,2025-05-17,789402,25891202,394,2025-06-01,2025-06-02,394,1,1,1
FMY531402202,2025-05-17,789402,25891202,199,2025-06-01,2025-06-02,199,1,1,1
FMY530902202,2025-05-17,789902,25891202,318,2025-06-01,2025-06-01,318,1,1,1
FMY530221401,2025-05-17,789221,25891202,297,2025-06-01,2025-06-01,297,1,0,0
FJUN61221502,2025-05-17,789221,25891202,206,2025-05-31,2025-05-31,206,1,1,1
FMY531903303,2025-05-17,789903,25891202,303,2025-06-01,2025-06-01,288,0,1,0
FMY530403402,2025-05-17,789403,25891202,200,2025-06-01,2025-06-01,200,1,1,1
FJUN61403301,2025-05-17,789403,25891202,452,2025-06-01,2025-06-03,452,1,1,1
FMY531721502,2025-05-17,789721,25891202,430,2025-05-30,2025-06-01,430,1,1,1
FMY530421202,2025-05-17,789421,25891202,133,2025-05-30,2025-05-30,120,0,0,0
FMY531421502,2025-05-17,789421,25891202,118,2025-05-30,2025-05-30,112,0,1,0
FMY530603503,2025-05-17,789603,25891202,335,2025-05-31,2025-05-31,335,1,1,1
FMY530621202,2025-05-17,789621,25891202,446,2025-05-30,2025-05-30,424,0,1,0
FMY531621403,2025-05-17,789621,25891202,124,2025-06-01,2025-06-01,124,1,1,1
FMY530202202,2025-05-17,789202,25891202,164,2025-05-31,2025-05-31,164,1,1,1
FMY531202303,2025-05-17,789202,25891202,222,2025-06-01,2025-05-31,222,1,1,1
FMY530121401,2025-05-17,789121,25891202,210,2025-06-01,2025-06-01,210,1,0,0
FJUN61721503,2025-05-17,789721,25891303,80,2025-05-30,2025-05-31,80,1,0,0
FMY531102303,2025-05-17,789102,25891303,99,2025-05-30,2025-05-31,99,1,1,1
FMY530421303,2025-05-17,789421,25891303,93,2025-05-30,2025-05-30,84,0,1,0
FMY530122303,2025-05-17,789122,25891303,97,2025-05-30,2025-05-31,78,0,1,0
FJUN61122303,2025-05-17,789122,25891303,73,2025-05-31,2025-05-31,66,0,0,0
FJUN61221502,2025-05-17,789221,25891303,57,2025-06-01,2025-06-02,57,1,1,1
FMY531202303,2025-05-17,789202,25891303,41,2025-05-30,2025-05-30,41,1,1,1
FMY530403303,2025-05-17,789403,25891303,61,2025-05-30,2025-05-30,55,0,0,0
FMY530902603,2025-05-17,789902,25891303,87,2025-05-30,2025-06-01,83,0,1,0
FMY531121303,2025-05-17,789121,25891303,58,2025-05-30,2025-05-31,58,1,0,0
FMY531903303,2025-05-17,789903,25891303,95,2025-05-30,2025-05-30,76,0,1,0
FMY530321301,2025-05-17,789321,25891301,75,2025-05-31,2025-06-01,75,1,1,1
FMY531203301,2025-05-17,789203,25891301,88,2025-05-31,2025-06-01,88,1,1,1
FMY530521301,2025-05-17,789521,25891301,58,2025-06-01,2025-06-01,58,1,0,0
FMY531521301,2025-05-17,789521,25891301,54,2025-06-01,2025-06-03,54,1,0,0
FJUN61521301,2025-05-17,789521,25891301,78,2025-05-30,2025-05-30,78,1,0,0
FJUN61221401,2025-05-17,789221,25891301,25,2025-05-31,2025-06-03,25,1,0,0
FMY531202301,2025-05-17,789202,25891301,36,2025-05-31,2025-05-31,36,1,1,1
FMY530903402,2025-05-17,789903,25891301,37,2025-06-01,2025-06-01,35,0,1,0
FMY530702401,2025-05-17,789702,25891301,49,2025-05-31,2025-05-31,47,0,1,0
FMY531702402,2025-05-17,789702,25891301,49,2025-05-30,2025-05-31,39,0,1,0
FMY531622501,2025-05-17,789622,25891301,38,2025-05-30,2025-05-30,38,1,1,1
FMY531303301,2025-05-17,789303,25891301,91,2025-05-31,2025-05-31,91,1,1,1
FJUN61403301,2025-05-17,789403,25891301,45,2025-05-30,2025-05-30,36,0,1,0
FMY530422501,2025-05-17,789422,25891301,40,2025-05-31,2025-06-03,40,1,0,0
FJUN61422301,2025-05-17,789422,25891301,85,2025-05-30,2025-05-30,85,1,0,0
FMY531603302,2025-05-17,789603,25891301,34,2025-06-01,2025-06-01,34,1,1,1
FJUN61603301,2025-05-17,789603,25891301,56,2025-05-30,2025-05-30,56,1,1,1
FMY531303301,2025-05-17,789303,25891102,471,2025-05-31,2025-05-31,471,1,1,1
FJUN61402401,2025-05-17,789402,25891102,402,2025-05-30,2025-06-01,402,1,1,1
FJUN61622102,2025-05-17,789622,25891102,439,2025-05-30,2025-05-30,439,1,1,1
FJUN61121501,2025-05-17,789121,25891102,493,2025-06-01,2025-06-03,468,0,0,0
FJUN61902203,2025-05-17,789902,25891102,321,2025-05-31,2025-05-31,321,1,1,1
FMY530503602,2025-05-17,789503,25891102,311,2025-06-01,2025-06-02,311,1,1,1
FMY531503503,2025-05-17,789503,25891102,487,2025-05-31,2025-05-31,463,0,1,0
FMY530321301,2025-05-17,789321,25891102,337,2025-05-31,2025-05-30,337,1,1,1
